unitNo,timeStamp,event,destination,long,lang,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,speed,un
465236,16/03/2016 00:00,START,Grove Park Down Sidings,51.440709,0.010084,1,1,0,0,0,0,1,0,0,0,0.36,NULL
465236,16/03/2016 00:01,STOP,Grove Park Down Sidings,51.442736,0.00806,0,0,0,0,0,0,1,1,1,0,0,NULL
465236,16/03/2016 00:02,START,Grove Park Down Sidings,51.44277,0.008027,1,0,0,0,0,0,1,0,0,1,0.02,NULL
465236,16/03/2016 00:02,STOP,Grove Park Down Sidings,51.44277,0.008027,1,0,0,0,0,0,1,0,0,1,-0.02,NULL
465236,16/03/2016 00:04,START,Grove Park Down Sidings,51.442773,0.008007,1,1,0,0,0,0,1,0,0,0,0.02,NULL
465236,16/03/2016 00:05,STOP,Grove Park Down Sidings,51.441644,0.009027,0,0,0,0,0,0,1,0,1,0,-0.05,NULL
465236,16/03/2016 00:06,START,Grove Park Down Sidings,51.441603,0.009085,1,1,0,0,0,0,1,0,0,0,0.02,NULL
465236,16/03/2016 00:08,STOP,Grove Park Up Sidings,51.439751,0.010569,0,0,0,0,0,0,1,0,0,0,0.31,NULL
465236,16/03/2016 00:13,START,Grove Park Up Sidings,51.439664,0.010642,1,0,0,0,0,0,1,0,0,0,0.02,NULL
465236,16/03/2016 00:13,STOP,Grove Park Up Sidings,51.439664,0.010642,1,0,0,0,0,0,1,0,0,0,-0.05,NULL
465236,16/03/2016 00:13,START,Grove Park Up Sidings,51.439664,0.010639,1,0,0,0,0,0,1,0,0,0,0.02,NULL
465236,16/03/2016 00:13,STOP,Grove Park Up Sidings,51.439664,0.01064,1,0,0,0,0,0,1,0,0,0,-0.02,NULL
465236,16/03/2016 05:00,START,Grove Park Up Sidings,51.439667,0.010689,1,0,0,0,0,0,1,0,0,1,1.06,NULL
465236,16/03/2016 05:19,STOP,Charing Cross,51.507762,-0.122508,0,0,0,0,0,1,0,1,1,1,-0.12,NULL
465236,16/03/2016 05:36,START,Charing Cross,51.507375,-0.123464,1,1,0,0,0,0,1,0,0,0,1.09,NULL
465236,16/03/2016 05:39,STOP,Waterloo East,51.504078,-0.10967,0,0,0,0,0,1,0,0,1,0,-0.02,NULL
465236,16/03/2016 05:39,START,Waterloo East,51.504058,-0.109656,1,1,0,0,0,0,1,0,0,0,1.04,NULL
465236,16/03/2016 05:50,STOP,Lewisham,51.465857,-0.014677,0,0,0,0,0,1,0,1,1,0,-0.02,NULL
465236,16/03/2016 05:51,START,Lewisham,51.465879,-0.01463,1,1,1,0,0,0,1,0,0,0,0.65,NULL
465236,16/03/2016 05:55,STOP,Hither Green,51.452044,-0.001105,0,0,0,0,0,1,0,0,1,0,-0.05,NULL
465236,16/03/2016 05:55,START,Hither Green,51.452032,-0.001086,1,1,1,0,0,0,1,0,0,0,0.34,NULL
465236,16/03/2016 05:59,STOP,Grove Park,51.430823,0.022176,0,0,0,0,1,0,0,1,1,0,-0.02,NULL
465236,16/03/2016 05:59,START,Grove Park,51.430827,0.022235,1,1,0,0,0,0,1,0,0,0,0.02,NULL
465236,16/03/2016 06:02,STOP,Elmstead Woods,51.417462,0.04377,0,0,0,0,0,1,0,0,1,0,-0.05,NULL
465236,16/03/2016 06:02,START,Elmstead Woods,51.417455,0.043749,1,1,0,0,0,0,1,0,0,0,0.17,NULL
465236,16/03/2016 06:04,STOP,Chislehurst,51.406066,0.056801,0,0,0,0,0,1,0,0,1,0,0.02,NULL
465236,16/03/2016 06:05,START,Chislehurst,51.406023,0.056843,1,1,1,0,0,0,1,0,0,0,0.7,NULL
465236,16/03/2016 06:08,STOP,Petts Wood,51.388841,0.074447,0,0,0,0,1,0,0,1,1,0,-0.05,NULL
465236,16/03/2016 06:09,START,Petts Wood,51.388811,0.074438,1,1,1,0,0,0,1,0,0,0,1.43,NULL
465236,16/03/2016 06:13,STOP,Orpington,51.37434,0.088278,0,0,0,0,0,1,0,0,1,0,0.05,NULL
465236,16/03/2016 06:13,START,Orpington,51.37431,0.088302,1,1,0,0,0,0,1,0,0,0,0.05,NULL
465236,16/03/2016 06:16,STOP,Chelsfield,51.357187,0.107566,0,0,0,0,0,1,0,0,1,0,-0.02,NULL
465236,16/03/2016 06:16,START,Chelsfield,51.357156,0.107583,1,1,1,0,0,0,1,0,0,0,0.63,NULL
465236,16/03/2016 06:18,STOP,Knockholt,51.346057,0.129338,0,0,0,0,0,1,0,0,1,0,-0.02,NULL
465236,16/03/2016 06:19,START,Knockholt,51.346038,0.129377,1,1,1,0,0,0,1,0,0,0,1.04,NULL
465236,16/03/2016 06:23,STOP,Dunton Green,51.297633,0.171518,0,0,0,0,0,1,0,0,1,0,-0.02,NULL
465236,16/03/2016 06:23,START,Dunton Green,51.297616,0.171519,1,1,1,0,0,0,1,0,0,0,0.68,NULL
465236,16/03/2016 06:26,STOP,Sevenoaks,51.27725,0.181449,0,0,0,0,1,0,0,1,1,0,0.05,NULL
465236,16/03/2016 06:35,START,Sevenoaks,51.277191,0.181496,1,1,0,0,0,0,1,0,0,1,0.39,NULL
465236,16/03/2016 06:38,STOP,Dunton Green,51.296948,0.171391,0,0,0,0,1,0,0,0,1,1,-0.02,NULL
465236,16/03/2016 06:38,START,Dunton Green,51.297029,0.171399,1,0,0,0,0,0,1,0,0,1,0.02,NULL
465236,16/03/2016 06:43,STOP,Knockholt,51.34624,0.128267,0,0,0,0,1,0,0,0,1,1,-0.05,NULL
465236,16/03/2016 06:44,START,Knockholt,51.34626,0.128225,1,1,1,0,0,0,1,0,0,1,0.73,NULL
465236,16/03/2016 06:46,STOP,Chelsfield,51.357061,0.10754,0,0,0,0,1,0,0,0,1,1,0.02,NULL
465236,16/03/2016 06:46,START,Chelsfield,51.357071,0.107502,1,1,1,0,0,0,1,0,0,1,1.04,NULL
465236,16/03/2016 06:49,STOP,Orpington,51.374194,0.088345,0,0,0,0,1,0,0,0,1,1,-0.05,NULL
465236,16/03/2016 06:51,START,Orpington,51.374271,0.088287,1,1,1,0,0,0,1,0,0,1,0.36,NULL
465236,16/03/2016 06:53,STOP,Petts Wood,51.388635,0.07443,0,0,0,0,0,1,0,1,1,1,-0.02,NULL
465236,16/03/2016 06:54,START,Petts Wood,51.388663,0.074373,1,1,1,0,0,0,1,0,0,1,1.02,NULL
465236,16/03/2016 06:56,STOP,Chislehurst,51.406062,0.056695,0,0,0,0,1,0,0,0,1,1,0.1,NULL
465236,16/03/2016 06:57,START,Chislehurst,51.406086,0.056652,1,1,0,0,0,0,1,0,0,1,0.34,NULL
465236,16/03/2016 06:59,STOP,Elmstead Woods,51.417607,0.043559,0,0,0,0,1,0,0,0,1,1,-0.02,NULL
465236,16/03/2016 07:00,START,Elmstead Woods,51.417692,0.043488,1,1,0,0,0,0,1,0,0,1,0.02,NULL
465236,16/03/2016 07:02,STOP,Grove Park,51.43071,0.022173,0,0,0,0,0,1,0,1,1,1,-0.02,NULL
465236,16/03/2016 07:04,START,Grove Park,51.430731,0.02205,1,1,1,0,0,0,1,0,0,1,0.68,NULL
465236,16/03/2016 07:07,STOP,Hither Green,51.45195,-9.89E-04,0,0,0,0,1,0,0,0,1,1,0.02,NULL
465236,16/03/2016 07:07,START,Hither Green,51.451975,-0.001053,1,1,1,0,0,0,1,0,0,1,0.34,NULL
465236,16/03/2016 07:18,STOP,London Bridge,51.505231,-0.085017,0,0,0,0,0,1,0,1,1,1,-0.05,NULL
465236,16/03/2016 07:19,START,London Bridge,51.504759,-0.085797,1,1,1,0,0,0,1,0,0,1,0.31,NULL
465236,16/03/2016 07:22,STOP,London Cannon Street,51.5099,-0.091625,0,0,0,0,0,1,0,1,1,1,-0.1,NULL
465236,16/03/2016 07:32,START,London Cannon Street,51.510754,-0.091254,1,1,0,0,0,0,1,0,0,0,1.4,NULL
465236,16/03/2016 07:35,STOP,London Bridge,51.505094,-0.084915,0,0,0,0,1,0,0,1,1,0,-0.02,NULL
465236,16/03/2016 07:37,START,London Bridge,51.505128,-0.084828,1,1,0,0,0,0,1,0,0,0,1.38,NULL
465236,16/03/2016 07:42,STOP,Deptford,51.479331,-0.027563,0,0,0,0,0,1,0,0,1,0,-0.02,NULL
465236,16/03/2016 07:42,START,Deptford,51.479302,-0.027545,1,1,1,0,0,0,1,0,0,0,0.02,NULL
465236,16/03/2016 07:44,STOP,Greenwich,51.478169,-0.015863,0,0,0,0,0,1,0,0,1,0,-0.02,NULL
465236,16/03/2016 07:45,START,Greenwich,51.478202,-0.015654,1,1,0,0,0,0,1,0,0,0,0.34,NULL
465236,16/03/2016 07:47,STOP,Maze Hill,51.482661,0.00336,0,0,0,0,0,1,0,0,1,0,-0.02,NULL
465236,16/03/2016 07:48,START,Maze Hill,51.482674,0.003456,1,1,1,0,0,0,1,0,0,0,0.73,NULL
465236,16/03/2016 07:49,STOP,Westcombe Park,51.484064,0.016696,0,0,0,0,0,1,0,0,1,0,-0.07,NULL
465236,16/03/2016 07:50,START,Westcombe Park,51.484097,0.016736,1,1,1,0,0,0,1,0,0,0,0.68,NULL
465236,16/03/2016 07:51,STOP,Charlton,51.486531,0.029357,0,0,0,0,0,1,0,0,1,0,0,NULL
465236,16/03/2016 07:52,START,Charlton,51.486572,0.029438,1,1,1,0,0,0,1,0,0,0,0.36,NULL
465236,16/03/2016 07:54,STOP,Woolwich Dockyard,51.491224,0.054115,0,0,0,0,0,1,0,0,1,0,0.02,NULL
465236,16/03/2016 07:55,START,Woolwich Dockyard,51.491249,0.054079,1,1,1,0,0,0,1,0,0,0,0.7,NULL
465236,16/03/2016 07:57,STOP,Woolwich Arsenal,51.489761,0.069301,0,0,0,0,0,1,0,0,1,0,-0.02,NULL
465236,16/03/2016 07:57,START,Woolwich Arsenal,51.489783,0.069374,1,1,0,0,0,0,1,0,0,0,0.41,NULL
